PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_POSITION,NBA_FANTASY_PTS,GP,FG3M,FGM,FGA,FTM,FTA,PTS,REB,AST,TOV,STL,BLK,FG3_PCT,FT_PCT,FG_PCT,SEASON
Jaylen Brown,BOS,Guard-Forward,2641.9,70,145,627,1256,211,300,1610,387,249,166,83,37,0.354,0.703,0.499,2023-24
Kyle Kuzma,WAS,Forward,2619.8,70,151,608,1313,186,240,1553,464,296,192,37,49,0.336,0.775,0.463,2023-24
Coby White,CHI,Guard,2593.1,79,209,541,1209,218,260,1509,358,405,166,53,18,0.376,0.838,0.447,2023-24
Jusuf Nurkić,PHX,Center,2592.9,76,22,320,627,167,261,829,837,301,175,81,80,0.244,0.64,0.51,2023-24
Miles Bridges,CHA,Forward,2557.5,69,157,559,1210,174,211,1449,505,231,138,65,33,0.349,0.825,0.462,2023-24
Jaren Jackson Jr.,MEM,Forward-Center,2553.0,66,117,516,1161,337,417,1486,365,154,160,80,106,0.32,0.808,0.444,2023-24
Myles Turner,IND,Center-Forward,2542.6,77,116,476,909,245,317,1313,533,100,109,39,144,0.358,0.773,0.524,2023-24
Donovan Mitchell,CLE,Guard,2537.5,55,182,503,1089,275,318,1463,280,333,154,101,30,0.368,0.865,0.462,2023-24
D'Angelo Russell,LAL,Guard,2534.2,76,226,492,1080,159,192,1369,236,482,156,69,36,0.415,0.828,0.456,2023-24
Austin Reaves,LAL,Guard,2496.4,82,154,457,940,232,272,1300,352,450,174,66,25,0.367,0.853,0.486,2023-24
Kyrie Irving,DAL,Guard,2483.5,58,173,562,1131,190,210,1487,290,299,106,74,28,0.411,0.905,0.497,2023-24
Franz Wagner,ORL,Forward,2456.7,72,94,528,1096,271,319,1421,381,269,137,76,28,0.281,0.85,0.482,2023-24
Trae Young,ATL,Guard,2456.3,54,175,433,1008,348,407,1389,149,583,235,72,11,0.373,0.855,0.43,2023-24
Cade Cunningham,DET,Guard,2444.6,62,119,524,1167,238,274,1405,268,464,212,56,22,0.355,0.869,0.449,2023-24
Nikola Jokić,DEN,Center,4501.4,70,138,786,1364,361,451,2071,892,716,230,127,45,0.417,0.8,0.576,2024-25
Shai Gilgeous-Alexander,OKC,Guard,4108.8,76,163,860,1656,601,669,2484,379,486,183,131,77,0.375,0.898,0.519,2024-25
Giannis Antetokounmpo,MIL,Forward,3845.1,67,14,793,1319,436,707,2036,798,433,206,58,78,0.222,0.617,0.601,2024-25
